,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu628,6,5,8,8,1,1,2,0,7,0,0,0,0,0,0,0,0,0,1,8,1,4,10,2,0,0,0,0,0,0,5,3,3,2,7,1,0,7,0,4,0,0,0,0,0,2,2,0,0,4,1,2,2,2,2,0,0,0,0,0
Otu629,0,0,4,1,0,4,1,1,3,2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,4,0,1,1,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0
Otu630,0,1,0,1,0,1,1,1,3,1,0,3,0,0,1,0,0,0,2,10,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,2,0,3,1,0,3,0,1,0,2,1,2,0,1,0,1,1,0,1
Otu631,0,1,8,0,4,2,1,1,13,4,0,0,0,2,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,5,4,1,1,2,5,0,2,1,3,0,0,0,0,0,0,5,2,1,1,1,0,0,1,0,0,0,1,0,0
Otu632,1,3,4,5,0,4,0,2,4,1,2,4,1,1,0,12,1,4,5,37,4,0,1,9,7,0,0,1,1,0,1,5,2,0,1,0,2,6,1,0,1,0,0,1,1,8,9,2,10,8,2,2,5,4,2,1,1,1,0,0
Otu633,1,0,1,0,0,4,0,0,1,1,0,0,0,5,0,0,1,0,1,22,4,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,2,3,7,0,0,1,0,0,0,0,0,0,0,2,0,0
Otu634,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,1,0,0,0,0,1,0,0
Otu635,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,3,0,1,0,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Otu636,0,0,0,0,0,1,0,0,0,0,15,0,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0
Otu637,2,0,0,6,1,4,4,2,0,3,0,0,0,1,0,6,0,0,1,22,5,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,1,1,2,1,0,0,0,0,0,0
